,word,etymology
685,harhar/harher yharhar/yharher,0
686,harr(i),0
687,harreb yharreb,0
688,harūn,0
689,hatt(i) yhatt(i),0
690,hawbar yhawbar,0
691,hawdža,0
692,hawwar yhawwar,0
693,hawwen yhawwen,0
694,hawwes yhawwes,0
695,hawžīra,0
696,haykla,0
697,hayyar yhayyar,0
698,hayyīna,0
699,hačxun,0
700,hačč/hačči,0
701,hašš/hašši,0
702,haṯinn/haṯinnun,0
703,hbulya,0
704,hellṯa,0
705,hilōne,0
706,hinn,0
707,hinnen,0
708,hinnun,0
709,hnō,0
710,htīṯa,0
711,hundbe,0
712,huntōza,0
713,huppōra,0
714,huss,0
715,hwō,0
716,hwōyṯa,0
717,hzōza,0
718,hēl,0
719,hī,0
720,hōxa,0
721,hōš/hōši,0
722,hōžem yhōžem,0
723,hōḏ(i),0
724,hōṯa,0
725,hōṯe,0
726,hū,0
727,hžūma,0
728,ibheč yibhač,0
729,iblaʕ yibluʕ,0
730,ibrex,0
731,ibəx/ibxi yibəx/yibxi,0
732,ibəčhaž yibəčhaž,0
733,ibəčlaš yibəčlaš,0
734,ibəʕ yibəʕ,0
735,ibḏar yibḏur,0
736,ifkaš yifkaš,0
737,ifkuḥ,0
738,iflač yiflač,0
739,iflaḥ yifluḥ,0
740,ifrak yifruk,0
741,ifras yifrus,0
742,ifrat yifrut,0
743,ifrax yifrux,0
744,ifraḳ yifruḳ,0
745,ifraṭ yifraṭ,0
746,ifraṭ yifruṭ,0
747,ifrem,0
748,ifres,0
749,ifčer yifčar,0
750,ifčham yifčham,0
751,ifšaḥ yifšuḥ,0
752,ifšīna,2
753,ifəx,0
754,ifəčkar yifəčkar,0
755,ifəčḓi yifəčḓi,0
756,ifəḓ/ifḓi,0
757,ifḓaḥ yifḓuḥ,0
758,ifḳer,0
759,ifṯaḥ yifṯuḥ,0
760,ifṯeḥ,0
761,ihkal yihkul,0
762,ihmaš yihmuš,0
763,ihmel,0
764,ihtas yihtus,0
765,ihtet,0
766,ihžam yihžum,0
767,ihət,0
768,ikbas yikbus,0
769,ikbat yikbut,0
770,ikkum,0
771,ikmar yikmur,0
772,ikmat yikmut,0
773,ikmaš yikmuš,0
774,ikramyōṯa,0
775,ikraʕ yikruʕ,0
776,iksaḥ yiksuḥ,0
777,ikčam yikčum,0
778,ikšaf yikšuf,0
779,ikšef,0
780,ikʕam yikʕum,0
781,ilef/(īlaf) yīlaf,0
782,ilfef,0
783,ilkaz yilkuz,0
784,illa,2
785,ilmas yilmus,0
786,ilyas,1
787,ilyān,0
788,ilzam yilzum,0
789,ilzaḳ yilzuḳ,0
790,ilčhi yilčhi,0
791,ilčḳi yilčḳi,0
792,iləčži yiləčži,0
793,ilḥas yilḥus,0
794,ilḥaḳ yilḥuḳ,0
795,ilḳaṭ yilḳuṭ,0
796,ilṭax yilṭux,0
797,ilṭaš yilṭuš,0
798,ilṭex,0
799,imeṯ,0
800,imkanyōṯa,0
801,imles,0
802,imma,2
803,immōyṯa,1
804,imnaʕ yimnuʕ,0
805,imreḳ yimruḳ,0
806,imsaḥ yimsuḥ,0
807,imzaḥ yimzuḥ,0
808,imčḥan yimčḥan,0
809,imōma,0
810,imōna,2
811,imōḏ,0
812,imšaḥ yimšuḥ,0
813,iməl,0
814,iməl yiməl,0
815,iməčḓi yiməčḓi,0
816,iməš yiməš,0
817,iməḥ yiməḥ,0
818,iməṭ/imṭi yiməṭ,0
819,imʕak yimʕuk,0
820,imʕes,0
821,imṣeṭ yimṣaṭ,0
822,imṯaḥ yimṯuḥ,0
823,imẓaṭ yimẓuṭ,0
824,in,2
825,inbaš yinbuš,0
826,infaḏ yinfuḏ,0
827,infaḥ yinfuḥ,0
828,infaḥ yinfuḥ/yinfaḥ,0
829,infeḳ/iffeḳ yiffuḳ/yinfuḳ,0
830,infeḳ/iffeḳ yinfuḳ/yiffuḳ,0
831,inglīzay,2
832,inhab yinhub,0
833,inhaz yinhaz,0
834,inhaš yinhuš,0
835,inhaḓ yinhaḓ,0
836,inkas yinkus,0
837,inkaš yinkuš,0
838,inkeb yinkab,0
839,inno/inne/inni,2
840,insak yinsuk,0
841,intab yintub,0
842,intar yintar,0
843,intaḳ yintaḳ,0
844,inwžat yinwžat,0
845,inxas yinxus,0
846,inzaʕ yinzaʕ,0
847,inzaʕ yinzuʕ,0
848,inčaf yinčuf,0
849,inčbah yinčbah,0
850,inčfaʕ yinčfaʕ,0
851,inčhi yinčhi,0
852,inčibōha,0
853,inčxab yinčxab,0
854,inčḥar yinčḥar,0
855,inčḳi yinčḳi,0
856,inġab yinġub,0
857,inġaz yinġuz,0
858,inšar yinšur,0
859,inšaḳ yinšuḳ,0
860,inžes,0
861,inžīla,2
862,inəbram yinəbram,0
863,inəbraḏ yinəbraḏ,0
864,inəfḳar yinəfḳar,0
865,inəfḳat yinəfḳat,0
866,inəfṣal yinəfṣal,0
867,inəfṯaḥ yinəfṯaḥ,0
868,inəpṣaṭ yinəpṣaṭ,0
869,inəsṭal yinəsṭal,0
870,inəxtaʕ yinəxtaʕ,0
871,inəxwaṯ yinəxwaṯ,0
872,inəxṭaf yinəxṭaf,0
873,inəxṯab yinəxṯab,0
874,inəčbar yinəčbar,0
875,inəčġab yinəčġab,0
876,inəčḳat yinəčḳat,0
877,inəčṣar yinəčṣar,0
878,inəš/inši yinəš/yinši,0
879,inəžbar yinəžbar,0
880,inəžlaḳ yinəžlaḳ,0
881,inəžḳar yinəžḳar,0
882,inəʕzam yinəʕzam,0
883,inəḳhar yinəḳhar,0
884,inəḳraḓ yinəḳraḓ,0
885,inəḳri yinəḳri,0
886,inəḳtar yinəḳtar,0
887,inəḳṭal yinəḳṭal,0
888,inəḳṭaʕ yinəḳṭaʕ,0
889,inəṣlab yinəṣlab,0
890,inəṭbaʕ yinəṭbaʕ,0
891,inəṭmar yinəṭmar,0
892,inʕat yinʕat,0
893,inʕem yinʕam,0
894,inʕžaḳ yinʕžaḳ,0
895,inḏaḳ yinḏaḳ,0
896,inḓar yinḓur,0
897,inḓef yinḓaf,0
898,inḓʕaf yinḓʕaf,0
899,inḥal yinḥul,0
900,inḥam yinḥam,0
901,inḥeč/iḥḥeč yinḥuč/yiḥḥuč,0
902,inḳal yinḳul,0
903,inḳam yinḳam,0
904,inḳar yinḳur,0
905,inḳaʕ yinḳaʕ,0
906,inṣab yinṣab,0
907,inṣab yinṣub,0
908,inṣeb,0
909,inṭar yinṭur,0
910,inṭraḥ yinṭraḥ,0
911,ipp-/upp-,0
912,ippe/uppe,0
913,ipxaš yipxuš,0
914,ipxel,0
915,ipxeš,0
916,ipčihōža,0
917,ipḥaš yipḥuš,0
918,ipṣer yipṣar,0
919,ireb yīrab,0
920,irex yīrax,0
921,ireṯ yīraṯ,0
922,irfas yirfus,0
923,irfaʕ yirfuʕ,0
924,irfaḓ yirfuḓ,0
925,irhan yirhun,0
926,irkaʕ yirkuʕ,0
927,irpiʕ,0
928,irrex,0
929,irsam yirsum,0
930,irxeb yirxab,0
931,irxeṣ,0
932,irzel,0
933,irčeb,0
934,irčfaʕ yirčfaʕ,0
935,irčifōʕa,0
936,irōta,0
937,irəʕ/irʕi yirəʕ/yirʕi,0
938,irəḏ/irḏi yirəḏ/yirḏi,0
939,irəṣ/irṣi yirəṣ/yirṣi,0
940,irḥem yirḥum,0
941,irḳaḏ yirḳuḏ,0
942,isbaḥ yisbuḥ,0
943,isbeʕ yisbaʕ,0
944,isfaḳ yisfuḳ,0
945,iskab yiskub,0
946,iskan yiskun,0
947,islač yislač,0
948,isleḳ yislaḳ,0
949,ismal yismal,0
950,ismat yismut,0
951,ismet,0
952,israḏ yisruḏ,0
953,isčfel yisčfel,0
954,isčfet yisčfet,0
955,isčilōḥa,0
956,isčiḳbōla,0
957,isčlaḥ yisčlaḥ,0
958,isčlaḳ yisčlaḳ,0
959,isčlem yisčlem,0
960,isžat yisžut,0
961,isḥar yisḥur,0
962,isḳaṭ yisḳaṭ,0
963,isḳel yisḳel,0
964,itbak yitbuk,0
965,itfan yitfun,0
966,itfaš yitfuš,0
967,itfaʕ yitfuʕ,0
968,itlaḳ yitlaḳ,0
969,itlaḳ yitluḳ,0
970,itras yitrus,0
971,itraž yitruž,0
972,itrež,0
973,itxal yitxul,0
974,itʕas yitʕus,0
975,itḥaš yitḥuš,0
976,iwəṭ,0
977,ixfen,0
978,ixfen yixfan,0
979,ixlaʕ yixluʕ,0
980,ixlaḳ yixluḳ,0
981,ixlaṭ yixluṭ,0
982,ixleḳ yixlaḳ,0
983,ixnaš yixnuš,0
984,ixneš,0
985,ixrus,0
986,ixteš,0
987,ixyer,0
988,ixčam yixčum,0
989,ixčar yixčar,0
990,ixčer yixčar,0
991,ixčlaf yixčlaf,0
992,ixčli yixčli,0
993,ixčur,0
994,ixšen,0
995,ixḥal yixḥul,0
996,ixṭab yixṭub,0
997,ixṯab yixṯub,0
998,iyyar,1
999,iza,2
1000,izban yizbun,0
1001,izmīla,1
1002,izruḳ,0
1003,izək,0
1004,izʕaḳ yizʕuḳ,0
1005,izʕut,0
1006,izḥal yizḥul,0
1007,ičbar yičbar,0
1008,ičbar yičbur,0
1009,ičbaʕ yičbuʕ,0
1010,ičber,0
1011,ičlaḥ yičluḥ,0
1012,ičneḥ yičneḥ,0
1013,iččfeḳ yiččfeḳ,0
1014,iččižōha,0
1015,iččxel yiččxel,1
1016,iččžaʕ yiččžaʕ,0
1017,iččṣel yiččṣel,0
1018,ičəčhat yičəčhat,0
1019,ičʕeb,0
1020,iġfar yiġfur,0
1021,iġlab yiġlub,0
1022,iġraf yiġruf,0
1023,iġras yiġrus,0
1024,iġraḥ yiġruḥ,0
1025,iġreḥ,0
1026,iġreḳ/iġraḳ yiġraḳ,0
1027,iġtar yiġtur,0
1028,iġčar yiġčar,0
1029,iġən,0
1030,iġʕer,0
